extracted_name,fixed_name,region,fixed,incorrect_or_ambiguous,country,stemmed_name
Etelä,Etelä,,,x,,etel
EteläPirkkalassa,Etelä-Pirkkala,other,x,,,eteläpirkkal
Eu rajoki,Eurajoki,other,x,,,eu rajok
Eurajoella,Eurajoki,,x,,,eurajoe
Eurajoki,Eurajoki,,x,,,eurajok
Eurajoki k,Eurajoki,,x,,,eurajoki k
Eurass,Eura,other,x,,,euras
Eurassa,Eura,,x,,,eura
Euro,Eura,,x,,,euro
Evi-järvi,Evijärvi,other,x,,,evi-järv
Evi-larvi,Evijärvi,,x,,,evi-larv
Evijar vi,Evijärvi,,x,,,evijar v
Evijär vi,Evijärvi,,x,,,evijär v
Evijärvollä,Evijärvi,,x,,,evijärvo
Finspäng,Finspång,,x,,sweden,finspäng
FNetarissa,FNetarissa,,,x,,fnetar
Forsassa,Forssa,other,x,,,fors
Grängesberg,Grängesberg,,x,,,grängesberg
H,H,,,x,,h
Ha,Ha,,,x,,ha
Hä,Hä,,,x,,hä
Ha likko,Halikko,other,x,,,ha liko
Hä meenkyrö,Hämeenkyrö,other,x,,,hä meenkyrö
Hä meenlinna,Hämeenlinna,other,x,,,hä meenlin
Hä meenlinna Miehen edellisestä avioliitosta,Hä meenlinna Miehen edellisestä avioliitosta,,,x,,hä meenlinna miehen edellisestä avioliito
Hä meenlinno,Hämeenlinna,,x,,,hä meenlino
Ha minä,Hamina,other,x,,,ha m
Hä-meenlinna,Hämeenlinna,,x,,,hä-meenlin
Hä-meentinnna,Hämeenlinna,,x,,,hä-meentin
Hä-mekoski,Hä-mekoski,,,x,,hä-mekosk
Haallolassa,Haallola,,x,,,haallol
Haapa-mäki,Haapamäki,,x,,,haapa-mäk
Haapaj,Haapajärvi,,x,,,haapaj
Haapajarvellä,Haapajärvi,,x,,,haapajarv
Haapajärvellä,Haapajärvi,,x,,,haapajärv
Haapajärvi k,Haapajärvi,,x,,,haapajärvi k
Haapajärvi OI,Haapajärvi,,x,,,haapajärvi oi
Haapakankaan,Haapakangas,,x,,,haapak
Haapamäellä,Haapamäki,,x,,,haapamäe
Haapasaarella,Haapasaari,,x,,,haapasaar
Haapavedellä,Haapavesi,,x,,,haapaved
Hah-kiala,Hahkiala,,x,,,hah-kial
Hailuodossa,Hailuoto,,x,,,hailuodo
Hakalassa,Hakala,,x,,,hakal
Hakkolassa,Hakkola,,x,,,hakkol
Häl-singborg,Hälsingborg,other,x,,,häl-singborg
Halik-ko,Halikko,,x,,,halik-ko
Halikko k,Halikko,,x,,,halikko k
Halilassa,Halila,,x,,,halil
Halkiassa,Halkia,,x,,,halkia
Halsualla,Halsua,,x,,,halsua
Ham,Ham,,,x,,ham
Ham-maslahdella,Hammaslahti,,x,,,ham-maslahd
Häme,Häme,other,x,,,häme
Hämeen kyrö,Hämeenkyrö,,x,,,hämeen kyrö
Hämeen linna,Hämeenlinna,,x,,,hämeen lin
Hämeenkoski,Hämeenkoski,other,x,,,hämeenkosk
Hämeenky,Hämeenky,other,x,,,hämeenky
Hämeenkylä,Hämeenkylä,other,x,,,hämeenkyl
Hämeenkyrö on herran ensimmäisestä avioliitosta,Hämeenkyrö on herran ensimmäisestä avioliitosta,,,x,,hämeenkyrö on herran ensimmäisestä avioliito
Hämeenlin na,Hämeenlinna,,x,,,hämeenlin
Hämeenlinna,Hämeenlinna,other,x,,,hämeenlin
Hämeenlinna Nämä lapset ovat miehen ensimmäisestä avioliitosta,Hämeenlinna Nämä lapset ovat miehen ensimmäisestä avioliitosta,,,x,,hämeenlinna nämä lapset ovat miehen ensimmäisestä avioliito
Hämeenlinnan mlk,Hämeenlinnan mlk,other,x,,,hämeenlinnan mlk
Hämeenlinnass,Hämeenlinna,,x,,,hämeenlinnas
Hämekoski,Hämekoski,,x,,,hämekosk
Hämeonlinna,Hämeenlinna,,x,,,hämeonlin
Hamina Miehen ensimmäisestä avioliitosta,Hamina,,x,x,,hamina miehen ensimmäisestä avioliito
Haminas,Hamina,,x,,,haminas
Haminassa,Hamina,,x,,,hamin
Hammarland,Hammarland,other,x,,,hammarland
Hammaslahdella,Hammaslahti,other,x,,,hammaslahd
Hammerfestissa,Hammerfest,,x,,,hammerfest
Hangossa,Hanko,other,x,,,hango
Hanko kuollut,Hanko,other,x,x,,hanko kuolu
Hankossa,Hanko,,x,,,hanko
Hannoverissa,Hannover,other,x,,germany,hannover
Har lu,Harlu,,x,,,har lu
Har tola,Hartola,other,x,,,har tol
Har-lu,Harlu,,x,,,har-lu
Här-nösand,Härnösand,,x,,,här-nösand
Harfu,Harlu,,x,,,harfu
Harhulassa,Karhula,,x,,,harhul
Harjavallassa,Harjavalta,,x,,,harjaval
Harjulla,Harju,,x,,,harju
HärköIässä,HärköIä,,x,,,härköiä
Harlus,Harlu,,x,,,harlus
Harlussä,Harlu,,x,,,harlu
Harru,Harlu,,x,,,haru
Harstadissa,Harstad,,x,,norway,harstad
Harto,Harto,,,x,,harto
Hartolassa,Hartola,,x,,,hartol
Hat tula,Hattula,,x,,,hat tul
Hat-tula,Hattula,,x,,,hat-tul
Hatisjärvellä,Hausjärvi,other,x,,,hatisjärv
Hatsinassa,Hatsina,karelia,x,,,hatsin
Hattu-la,Hattula,,x,,,hattu-l
Hattulassa,Hattula,,x,,,hattul
Hauho,Hauho,other,x,,,hauho
Hauki,Hauki,,,x,,hauki
Hauki-puhdas,Haukipuhdas,other,x,,,hauki-puhdas
Hauki-vuori,Haukivuori,other,x,,,hauki-vuor
Haukilahdella,Haukilahti,other,x,,,haukilahd
Haukiputaalla,Haukiputaa,other,x,,,haukiput
Haukuvuorella,Haukivuori,other,x,,,haukuvuor
Hauojärvi,Hausjärvi,other,x,,,hauojärv
Haus,Hausjärvi,,x,,,haus
Haus-järvi,Hausjärvi,,x,,,haus-järv
Hausjä,Hausjärvi,,x,,,hausj
Hausjär-vi,Hausjärvi,,x,,,hausjär-v
Hausjärveilä,Hausjärvi,,x,,,hausjärveil
Hausjärvel,Hausjärvi,,x,,,hausjärvel
Hausjärveltä,Hausjärvi,,x,,,hausjärv
Hdlsinki,Helsinki,,x,,,hdlsink
He,He,,,x,,he
Hei,Hei,,,x,,hei
Hei nävesi,Heinävesi,other,x,,,hei näv
Hei nola,Heinola,other,x,,,hei nol
Hei singin mlk,Helsingin mlk,other,x,,,hei singin mlk
Hei sinki,Helsinki,,x,,,hei sink
Hei-sinki,Helsinki,,x,,,hei-sink
Hein,Hein,,,x,,hein
Heinä-joki,Heinäjoki,other,x,,,heinä-jok
Heinäjoella,Heinäjoki,other,x,,,heinäjoe
Heinäjoki,Heinäjoki,,x,,,heinäjok
Heinäjoki k,Heinäjoki,,x,,,heinäjoki k
Heinäluodolla,Heinäluoto,,x,,,heinäluodo
Heinävedellä,Heinävesi,,x,,,heinäved
Heinävesi,Heinävesi,other,x,,,heinäv
Heinijoella,Heinjoki,karelia,x,,,heinijoe
Heinj,Heinjoki,,x,,,heinj
Heinjoejla,Heinjoki,,x,,,heinjoejl
Heinjoella,Heinjoki,,x,,,heinjoe
HeinjoellaPuol,Heinjoki,,x,,,heinjoellapuol
Heinjoellla,Heinjoki,,x,,,heinjoel
Heinjoki,Heinjoki,,x,,,heinjok
Heinlahti,Heinlahti,other,x,,,heinlaht
Heinnola,Heinola,,x,,,heinnol
Heino la,Heinola,,x,,,heino l
Heinola adoptoitu,Heinola,other,x,,,heinola adoptoitu
Heinolan mlk,Heinolan mlk,,x,,,heinolan mlk
Heinolas,Heinola,,x,,,heinolas
Heinolassa,Heinola,,x,,,heinol
Heisin gin mlk,Helsingin mlk,,x,,,heisin gin mlk
Heisin ki,Helsinki,,x,,,heisin k
Heisingissä,Helsinki,,x,,,heising
Hel-sinki,Helsinki,,x,,,hel-sink
Helsin,Helsinki,,x,,,hels
Helsingin mlk,Helsingin mlk,,x,,,helsingin mlk
Helsingin pitäjä,Helsingin pitäjä,other,x,,,helsingin pitäj
Helsingiss,Helsinki,,x,,,helsingis
Helsinkf,Helsinki,,x,,,helsinkf
Helsinki,Helsinki,,x,,,helsink
Helsinki Herran aikaisemmasta avio liitosta,Helsinki,,x,x,,helsinki herran aikaisemmasta avio liito
Helsinki k,Helsinki,,x,x,,helsinki k
Helsinki Rouvan aikaisemmasta avioliitosta,Helsinki,,x,x,,helsinki rouvan aikaisemmasta avioliito
Helsinki Rouvan edellisestä avioliitosta,Helsinki,,x,x,,helsinki rouvan edellisestä avioliito
Helsinki Rouvan ensimmäisestä avioliitosta,Helsinki,,x,x,,helsinki rouvan ensimmäisestä avioliito
Helsinki Toisesta avioliitosta,Helsinki,,x,x,,helsinki toisesta avioliito
Hely-lä,Helylä,karelia,x,,,hely-l
Helylä,Helylä,,x,,,helyl
Herra Ahosen aikaisemmasta avioliitosta,Herra Ahosen aikaisemmasta avioliitosta,,,x,,herra ahosen aikaisemmasta avioliito
Hersonissa,Herson,,x,,,herson
Heslinki,Helsinki,,x,,,heslink
Hfltolassa,Hiitola,,x,,,hfltola
Hi,Hi,,,x,,hi
Hienjoella,Heinjoki,,x,,,hienjoe
Hieta,Hieta,,,x,,hieta
Hieta-mäki,Hietamäki,other,x,,,hieta-mäk
Hietamäellä,Hietamäki,,x,,,hietamäe
Hietamäki,Hietamäki,,x,,,hietamäk
Hii,Hii,,,x,,hii
Hii-Tola,Hiitola,,x,,,hii-tol
Hiit,Hiitola,,x,,,hiit
Hiitö,Hiitola,,x,,,hiitö
Hiito-la,Hiitola,,x,,,hiito-l
Hiitola Nykyisestä avioliitosta,Hiitola,karelia,x,x,,hiitola nykyisestä avioliito
Hiitolas,Hiitola,,x,,,hiitolas
HIitolassa,Hiitola,,x,,,hiitol
Hiitölassa,Hiitola,,x,,,hiitöl
Hiitolassa ja Marja Hannukainen,Hiitola,,x,x,,hiitolassa ja marja hannukain
HiitolassaAvioit,Hiitola,,x,x,,hiitolassaavioi
HiitolassaPuol,Hiitola,,x,x,,hiitolassapuol
Hiitolasso,Hiitola,,x,,,hiitolaso
Hiitolasss,Hiitola,,x,,,hiitolass
HiitolBssa,Hiitola,,x,,,hiitolb
Hiitols,Hiitola,,x,,,hiitols
HiitoRikhard,Hiitola,,x,x,,hiitorikhard
Hiitotassa,Hiitola,,x,,,hiitot
Hiittisissä,Hiittinen,other,x,,,hiittis
Hijtolassa,Hiitola,,x,,,hijtol
Hilkka Lindströmin ensimmäisestä avioliitosta,Hilkka Lindströmin ensimmäisestä avioliitosta,,,x,,hilkka lindströmin ensimmäisestä avioliito
Hillolassa,Hiitola,,x,,,hillol
Hilvaniemellä,Hiivaniemi,karelia,x,,,hilvaniem
Himangalla,Himanka,other,x,,,himang
Hinner,Hinnerjoki,other,x,,,hinner
Hinnerjo-ki,Hinnerjoki,,x,,,hinnerjo-k
Hinnerjoella,Hinnerjoki,,x,,,hinnerjoe
Hippolassa,Hippola,karelia,x,,,hippol
Hir vensalmi,Hirvensalmi,,x,,,hir vensalm
Hirsilä,Hirsilä,other,x,,,hirsil
Hirtolassa,Hirtola,,x,,,hirtol
Hirvensal,Hirvensalmi,,x,,,hirvensal
Hirvensalmell,Hirvensalmi,,x,,,hirvensalmel
Hirvensalmella,Hirvensalmi,,x,,,hirvensalm
Hirvilahdella,Hirvilahti,,x,,,hirvilahd
hitsaaja,hitsaaja,,,x,,hitsaaj
Hlesin-ki,Helsinki,,x,,,hlesin-k
Hlilola,Hiitola,,x,,,hlilol
Hll,Hll,,,x,,hl
Hlltoiassa,Hiitola,,x,,,hlltoias
Hntoiassa,Hiitola,,x,,,hntoias
Ho,Ho,,,x,,ho
Hoi,Hoi,,,x,,hoi
Höinola,Höinola,,,x,,höinol
Hoitola,Hoitola,,,x,,hoitol
Holbaekissa,Holbaek,other,x,,denmark,holbaek
Holjolassa,Hollola,,x,,,holjol
Holloja,Hollola,other,x,,,holo
Hollola Rouva Seppälän veljet,Hollola,,x,x,,hollola rouva seppälän velj
Hollolassa ja Jooseppi s,Hollola,,x,x,,hollolassa ja jooseppi s
Hölsinki,Helsinki,,x,,,hölsink
Hon-kilahti,Honkilahti,other,x,,,hon-kilaht
Honka-joki,Honkajoki,,x,,,honka-jok
Honkajoella,Honkajoki,,x,,,honkajoe
Honkaniemi,Honkaniemi,,x,,,honkaniem
Honkiisi,Honkiisi,,,x,,honk
Honkilahdella,Honkilahti,other,x,,,honkilahd
Honko-niemi,Honkaniemi,,x,,,honko-niem
Houtskärissä,Houtskär,,x,,,houtskär
HoutskäVissä,Houtskär,,x,,,houtskäv
Hovimaa,Hovimaa,,,x,,hovim
Hovin,Hovin,,,x,,hov
Hpinjoella,Heinjoki,,x,,,hpinjoe
Huittinen k,Huittinen,,x,,,huittinen k
Huittisissa,Huittinen,,x,,,huittis
Huittisten,Huittinen,,x,,,huittist
hukkui v,hukkui v,,,x,,hukkui v
Humaljoella,Humaljoki,karelia,x,,,humaljoe
Humaljoki,Humaljoki,karelia,x,,,humaljok
Humppila Lapset ovat Bernhard Jääskeläisen aikaisemmasta avioliitosta,Humppila,other,x,x,,humppila lapset ovat bernhard jääskeläisen aikaisemmasta avioliito
Hv vinkää,Hyvinkää,,x,,,hv vink
Hy rynsalmi,Hyrynsalmi,other,x,,,hy rynsalm
Hy vinkää,Hyvinkää,,x,,,hy vink
Hyrsylässä,Hyrsylä,karelia,x,,,hyrsyl
Hyvin kää,Hyvinkää,,x,,,hyvin k
Hyvinkääilä,Hyvinkää,,x,,,hyvinkääil
Hyvinkään mlk,Hyvinkään mlk,other,x,,,hyvinkään mlk
Ihan-tala,Ihantala,karelia,x,,,ihan-tal
Ihantalassa,Ihantala,,x,,,ihantal
Iisalmen mlk,Iisalmi mlk,other,x,,,iisalmen mlk
Iisalmi mlk,Iisalmi mlk,other,x,,,iisalmi mlk
Iissä,Ii,other,x,,,iis
Ijeinjoejla,Ijeinjoejla,,,x,,ijeinjoejl
Ikaalisis,Ikaalinen,other,x,,,ikaalisis
Ikaalisissa,Ikaalinen,,x,,,ikaalis
Ilma-joki,Ilmajoki,,x,,,ilma-jok
Ilmaj,Ilmajoki,,x,,,ilmaj
Ilmeessä,Ilmeessä,,,x,,ilm
Iloman,Ilomantsi,other,x,,,ilom
Ilomantsi,Ilomantsi,,x,,,ilomant
Ilomantsissa,Ilomantsi,,x,,,ilomants
Im,Im,,,x,,im
Imat ra,Imatra,other,x,,,imat r
Imat-ra,Imatra,,x,,,imat-r
Imatra,Imatra,,x,,,imatr
Imatral,Imatra,,x,,,imatral
Imatrp,Imatra,,x,,,imatrp
Imilahdella,Impilahti,,x,,,imilahd
Immola,Immola,other,x,,,immol
Impi,Impilahti,,x,,,imp
Impi lahti,Impilahti,,x,,,impi laht
Impiiahdessa,Impilahti,,x,,,impiiahd
Impil,Impilahti,,x,,,impil
Impilah ti,Impilahti,,x,,,impilah t
Impilahdel,Impilahti,,x,,,impilahdel
ImpilahdellaPuol,Impilahti,,x,x,,impilahdellapuol
ImpilahdellaTytä,Impilahti,,x,x,,impilahdellaty
Impilahdessa,Impilahti,,x,,,impilahd
Impilahhti,Impilahti,,x,,,impilahht
Impilahti,Impilahti,karelia,x,,,impilaht
Indonesiassa,Indonesia,other,x,,indonesia,indonesia
Inke rl,Inkeri,other,x,,Russia,inke rl
Inkeri,Inkeri,,x,,,inker
InkerissäPuol,Inkeri,,x,x,,inkerissäpuol
Inkeroinen,Inkeroinen,other,x,,,inkeroin
Inkeroisissa,Inkeroinen ,,x,,,inkerois
Inkoossa,Inkoo,other,x,,,inko
Inossa,Inossa,,,x,,ino
Interposolska,Interposolska,,,x,,interposolsk
Irkutksissa,Irkutsk,other,x,,Russia,irkutks
Irnmola,Immola,other,x,,,irnmol
Iso-joki,Isojoki,other,x,,,iso-jok
Isoioki,Isojoki,,x,,,isoiok
Isojoella,Isojoki,,x,,,isojoe
Isossa,Isossa,,,x,,iso
Isossak,Isossak,,,x,,isossak
Isossakyrössä,Isokyrö,other,x,,,isossakyrö
Itä,Itä,,,x,,itä
Itä-Karjala,Itä-Karjala,,x,,,itä-karjal
Itä-Preussi,Itä-Preussi,,x,,Germany,itä-preus
ITaapajärvi,Haapajärvi,,x,,,itaapajärv
Itämerellä,Itämerellä,,,x,,itämer
Itävallassa,Itävalta,,x,,Austria,itäval
IVfikkeli,Mikkeli,other,x,,,ivfikkel
J aski,J aski,,,x,,j ask
Ja,Ja,,,x,,ja
Jä,Jä,,,x,,jä
ja -Irma,ja -Irma,,,x,,ja -irm
ja siunattiin poissaolevana Joensuussa,ja siunattiin poissaolevana Joensuussa,,,x,,ja siunattiin poissaolevana joensu
Jaa,Jaa,,,x,,jaa
Jää,Jää,,,x,,jää
Jaa la,Jaa la,,,x,,jaa l
Jaak,Jaak,,,x,,jaak
Jaak Keskustapuolueen naisjaoston jäsen,Jaak    Keskustapuolueen naisjaoston jäsen,,,x,,jaak    keskustapuolueen naisjaoston jäs
Jaak kima,Jaakkima,karelia,x,,,jaak kim
Jaakki ma,Jaakkima,,x,,,jaakki m
Jaakki-ma,Jaakkima,,x,,,jaakki-m
Jaakkima k,Jaakkima,,x,,,jaakkima k
Jaakkimas,Jaakkima,,x,,,jaakkimas
Jaakkimassa,Jaakkima,,x,,,jaakkim
Jaakkimassa kuuluu myös perheeseen,Jaakkima,,x,x,,jaakkimassa kuuluu myös perh
JaakkimassaAs,Jaakkima,,x,,,jaakkimassaas
JaakkimassaAsui,Jaakkima,,x,,,jaakkimassaasui
JaakkimassaPuol,Jaakkima,,x,,,jaakkimassapuol
Jaakkimgpsa,Jaakkima,,x,,,jaakkimgps
JaakklmassaPuoi,Jaakkima,,x,,,jaakklmassapuoi
Jaakko Pulkkasen edellisestä avioliitosta,Jaakko Pulkkasen edellisestä avioliitosta,,,x,,jaakko pulkkasen edellisestä avioliito
Jääs,Jääs,,,x,,jääs
Jääs ki,Jääski,,x,,,jääs k
Jääskelässä,Jääskelä,,x,,,jääskel
Jääskes,Jääski,karelia,x,,,jääskes
Jaaskessä,Jääski,,x,,,jaask
Jaäskessä,Jääski,,x,,,jaäsk
JääskessäAsui,Jääski,,x,,,jääskessäasui
JääskessäPuol,Jääski,,x,,,jääskessäpuol
Jääskessö,Jääski,,x,,,jääskesö
Jääski,Jääski,,x,,,jääsk
Jääski k,Jääski,,x,,,jääski k
Jääskis,Jääski,,x,,,jääskis
Jäaskissä,Jääski,,x,,,jäask
Jääskossä,Jääski,,x,,,jääsko
Jahanneksessa,Johannes,karelia,x,,,jahanneks
Jalas,Jalasjärvi,,x,,,jalas
Jalasjär vi,Jalasjärvi,other,x,,,jalasjär v
Jalasjärvallä,Jalasjärvi,,x,,,jalasjärv
Jalasjärveil,Jalasjärvi,,x,,,jalasjärveil
Jalasjärvel,Jalasjärvi,,x,,,jalasjärvel
Jäm sä,Jämsä ,other,x,,,jäm s
Jamijärvellä,Jamijärvi,other,x,,,jamijärv
Jämijarvellä,Jamijärvi,,x,,,jämijarv
Jämijärvollä,Jamijärvi,,x,,,jämijärvo
Jämsänkoskella,Jämsänkoski,other,x,,,jämsänkosk
Janak kala,Janakkala,other,x,,,janak kal
Janak-kala,Janakkala,,x,,,janak-kal
Janakkala k,Janakkala,,x,,,janakkala k
Janakkalassa,Janakkala,,x,,,janakkal
Jänis-järvi,Jänisjärvi,karelia,x,,,jänis-järv
Jänisjärvi,Jänisjärvi,,x,,,jänisjärv
Jännevirralla,Jännevirta,other,x,,,jännevir
Jäöskessö,Jääski,,x,,,jäöskesö
Jäppi,Jäppilä,,x,,,jäp
Jappilässä,Jäppilä,other,x,,,jappil
Jäppilassä,Jäppilä,,x,,,jäppil
Jär venpää,Järvenpää ,other,x,,,jär venp
Jär-venpää,Järvenpää,,x,,,jär-venp
Järvenpäässä,Järvenpää,,x,,,järvenp
Järvisaarella,Järvisaari,other,x,,Russia,järvisaar
Je-pua,Jepua ,other,x,,,je-pu
Jeäskissä,Jääski,karelia,x,,,jeäsk
Jepualla,Jepua ,,x,,,jepua
Jo,Jo,,,x,,jo
Jo hannes,Johannes,,x,,,jo hannes
Jo kioinen,Jokioinen ,other,x,,,jo kioin
Jo-hannes,Johannes,,x,,,jo-hannes
Jöäskissä,Jääski,,x,,,jöäsk
Joen suu,Joensuu,,x,,,joen su
Joensuu Nykyisestä avioliitosta,Joensuu,,x,x,,joensuu nykyisestä avioliito
Joensuussa,Joensuu,,x,,,joensu
